Typical Measured Spectrum of Semrock LPD02-785RU Optical Filter	
For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6.5) are measurement noise limited.
For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. 
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
978.0	0.98043
978.2	0.98072
978.4	0.98127
978.6	0.98456
978.8	0.98596
979.0	0.98646
979.2	0.98429
979.4	0.98489
979.6	0.9852
979.8	0.98752
980.0	0.98725
980.2	0.98791
980.4	0.98818
980.6	0.98797
980.8	0.98544
981.0	0.98361
981.2	0.98261
981.4	0.98389
981.6	0.98332
981.8	0.98472
982.0	0.98386
982.2	0.98163
982.4	0.98093
982.6	0.98295
982.8	0.98416
983.0	0.98422
983.2	0.985
983.4	0.98386
983.6	0.9825
983.8	0.98373
984.0	0.98548
984.2	0.98793
984.4	0.98896
984.6	0.98952
984.8	0.98997
985.0	0.9884
985.2	0.98668
985.4	0.98579
985.6	0.98542
985.8	0.98276
986.0	0.98365
986.2	0.98561
986.4	0.98657
986.6	0.98563
986.8	0.98544
987.0	0.9853
987.2	0.98631
987.4	0.98713
987.6	0.98594
987.8	0.98682
988.0	0.98674
988.2	0.98807
988.4	0.98992
988.6	0.98969
988.8	0.99067
989.0	0.99212
989.2	0.993
989.4	0.99295
989.6	0.99297
989.8	0.99223
990.0	0.99144
990.2	0.99022
990.4	0.98895
990.6	0.99159
990.8	0.9922
991.0	0.99259
991.2	0.99377
991.4	0.99149
991.6	0.98974
991.8	0.98724
992.0	0.98592
992.2	0.98597
992.4	0.98609
992.6	0.98583
992.8	0.98657
993.0	0.98822
993.2	0.98882
993.4	0.98879
993.6	0.98913
993.8	0.99094
994.0	0.9911
994.2	0.98891
994.4	0.98721
994.6	0.98649
994.8	0.98607
995.0	0.98557
995.2	0.98351
995.4	0.98302
995.6	0.9819
995.8	0.98013
996.0	0.97833
996.2	0.97909
996.4	0.9798
996.6	0.98206
996.8	0.98116
997.0	0.97928
997.2	0.97871
997.4	0.97917
997.6	0.98033
997.8	0.98021
998.0	0.98104
998.2	0.98005
998.4	0.98
998.6	0.97861
998.8	0.97707
999.0	0.97693
