cyc,VVA,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
60,1.8,60,8285.04,-0.344867,17.4991,12.519,92.4018,-0.262306,-23.0835,1.11473,2.01447,4.2815,-4.49841,-5.60085,4.34234,-289.376,680.738,34.3001,9094.63,7328.63,3.83659,6.10362,-0.854163,-3.77873,6.16446,1.07446,1086.62,64.3652,9500.51,0.122408,0.906076,0.0123263,8877.03 
61,1.6,61,8196.66,-0.170157,17.0986,12.1619,92.7895,0.0694497,68.895,500,-1.68423,-0.87226,-4.54036,-1.21526,-1.34543,-259.017,185.123,59.5531,9343.3,6925.3,-0.0532647,0.7587,-1.27844,0.4157,0.285531,10.9704,548.42,86.464,9706.6,0.0644606,0.783757,0.0161441,8507.83 
62,2,62,6531.27,-0.373943,14.8222,12.4324,92.7101,-0.855959,3021.26,450.879,0.192474,1.12698,-1.20648,-4.0068,1.73848,-277.803,947.779,47.2571,7245.61,90184.2,1.94173,2.87623,2.29203,-2.25755,3.48773,0.725182,1337.42,76.1198,7635.25,0.176016,0.90942,0.0180337,7598.33 
63,4,63,3020.8,-0.00664081,14.8554,11.0083,93.3656,-0.0521983,8.48093,499.999,8.86779,-0.468106,-2.71645,-3.92458,-3.37864,-818.079,6105.66,38.4222,1471.27,5337.96,14.019,4.68312,7.58599,1.22665,1.77258,0.740981,7253.1,123.417,2618.7,0.77157,0.971083,0.0798818,9400.44 
64,2.6,64,5647.89,-0.568243,16.1108,12.0771,93.3746,0.687177,-150.289,0.00041887,2.12915,-2.02656,1.42217,0.824273,-6.41926,-604.091,2869.63,26.3215,5556.77,9695.86,5.93295,1.77724,9.02977,4.62808,-2.61546,0.518478,3716.93,89.0843,6404.06,0.414454,0.959746,0.0249845,8968.26 
65,1.2,65,8836.18,-0.258091,18.0285,12.2696,92.5163,-0.35303,494.126,190.119,-5.15448,-2.30666,1.64798,-0.221088,-2.65375,-241.532,110.644,74.2795,9970.77,12879.5,-3.63361,-0.785792,4.68971,1.29978,-1.13289,-9.72668,449.417,99.3738,10309.5,0.0504779,0.721004,0.0174463,8903.24 
66,2.1,66,6065.87,-0.447298,14.9508,12.2056,92.8817,0.232192,75.9986,13.2409,0.355488,3.96934,-0.155122,-1.99593,-3.8853,-391.53,1311.9,50.5017,6772.52,6514.91,2.82085,6.43469,4.77559,0.469431,-1.41995,0.634911,1861.05,91.1801,7321.68,0.23663,0.921032,0.0224261,7864.83 
67,3.5,67,3192.06,-0.0444421,15.4827,10.9171,93.4666,-0.248631,267.034,499.644,3.96379,3.41478,4.00444,-1.56361,0.530216,-856.516,5382.64,-17.547,2508.84,7663.66,9.35705,8.80803,14.7909,3.82964,5.92347,0.653682,6583.99,71.4417,3710.19,0.683955,0.981365,0.0342557,9626.34 
68,0,68,8690.44,-0.141493,17.3826,12.3093,92.6319,-0.216859,133.221,3.06887e-07,-0.364963,1.53435,-0.28308,-6.39254,2.67121,-176.293,177.453,64.579,9546.1,7905.83,0.745106,2.64442,1.93706,-5.28247,3.78128,0.493632,424.721,82.8951,9793.37,0.0502314,0.745402,0.0153529,8455.28 
69,2.2,69,6989.7,0.00023505,17.1091,11.482,92.8381,-0.0103508,-3.70771,500,-1.53536,5.09559,3.5736,-5.96282,3.33444,-475.518,1835.2,37.6457,7364.4,6396.26,1.45885,8.0898,9.56202,-2.96861,6.32866,0.574467,2502.16,87.0502,8031.36,0.275329,0.942611,0.0195753,9087.88 
